ID,Type,On,Off
S1012,tGUI,10:04:11,10:04:21
S1012,tGUI,10:04:51,10:05:20
S1012,tGUI,10:05:51,10:06:08
S1012,tGUI,10:06:13,10:06:34
S1012,tGUI,10:08:51,10:09:08
S1012,tGUI,10:10:50,10:11:21
S1012,tGUI,10:11:29,10:11:51
S1012,tGUI,10:13:50,10:14:21
S1012,tGUI,10:16:21,10:16:51
S1012,tGUI,10:16:56,10:17:51
S1012,tGUI,10:18:21,10:18:51
S1012,tGUI,10:19:51,10:20:51
S1012,tGUI,10:21:21,10:21:30
S1012,tGUI,10:21:39,10:22:21
S1012,tGUI,10:22:23,10:22:51
S1012,tGUI,10:22:57,10:23:21
S1012,tGUI,10:23:51,10:23:55
S1012,tGUI,10:24:21,10:24:51
S1012,tGUI,10:25:02,10:25:21
S1012,tGUI,10:25:31,10:25:51
S1012,tGUI,10:26:51,10:27:50
S1012,tGUI,10:27:57,10:28:01
S1012,EMG,9:11:16,9:11:16
S1012,EMG,9:15:30,9:15:31
S1012,EMG,9:16:15,9:16:15
S1012,EMG,9:16:17,9:16:17
S1012,EMG,9:16:18,9:16:18
S1012,EMG,9:18:24,9:18:24
S1012,EMG,9:20:59,9:21:00
S1012,EMG,9:21:02,9:21:05
S1012,EMG,9:21:06,9:21:06
S1012,EMG,9:21:07,9:23:31
S1012,EMG,9:23:33,9:25:14
S1012,EMG,9:25:16,9:25:19
S1012,EMG,9:25:20,9:25:20
S1012,EMG,9:25:21,9:25:22
S1012,EMG,9:25:24,9:25:27
S1012,EMG,9:25:30,9:25:46
S1012,EMG,9:25:47,9:25:59
S1012,EMG,9:26:03,9:26:18
S1012,EMG,9:26:27,9:26:31
S1012,EMG,9:26:55,9:26:58
S1012,EMG,9:31:00,9:31:00
S1012,EMG,9:31:03,9:31:06
S1012,EMG,9:31:12,9:31:17
S1012,EMG,9:31:18,9:31:20
S1012,EMG,9:31:22,9:31:22
S1012,EMG,9:31:25,9:31:25
S1012,EMG,9:31:28,9:31:30
S1012,EMG,9:31:31,9:31:31
S1012,EMG,9:31:39,9:31:39
S1012,EMG,9:31:42,9:31:44
S1012,EMG,9:31:47,9:31:50
S1012,EMG,9:31:51,9:31:51
S1012,EMG,9:33:23,9:33:23
S1012,EMG,9:33:24,9:33:25
S1012,EMG,9:33:28,9:33:29
S1012,EMG,9:34:20,9:34:20
S1012,EMG,9:36:42,9:37:14
S1012,EMG,9:37:14,9:37:15
S1012,EMG,9:37:31,9:37:31
S1012,EMG,9:37:32,9:37:35
S1012,EMG,9:37:36,9:37:36
S1012,EMG,9:37:38,9:37:38
S1012,EMG,9:37:42,9:38:02
S1012,EMG,9:38:04,9:38:20
S1012,EMG,9:38:21,9:38:21
S1012,EMG,9:38:47,9:38:47
S1012,EMG,9:39:00,9:39:02
S1012,EMG,9:39:05,9:39:06
S1012,EMG,9:39:38,9:39:48
S1012,EMG,9:39:41,9:39:46
S1012,EMG,9:39:50,9:39:50
S1012,EMG,9:40:14,9:40:15
S1012,EMG,9:40:16,9:40:18
S1012,EMG,9:41:15,9:41:19
S1012,EMG,9:41:17,9:41:17
S1012,EMG,9:41:23,9:41:23
S1012,EMG,9:41:30,9:41:36
S1012,EMG,9:41:43,9:41:43
S1012,EMG,9:41:47,9:41:52
S1012,EMG,9:42:29,9:42:30
S1012,EMG,9:44:16,9:44:17
S1012,EMG,9:45:39,9:45:40
S1012,EMG,9:46:06,9:46:10
S1012,EMG,9:46:19,9:46:20
S1012,EMG,9:46:24,9:46:26
S1012,EMG,9:46:27,9:46:28
S1012,EMG,9:46:30,9:46:39
S1012,EMG,9:46:40,9:46:42
S1012,EMG,9:46:46,9:46:46
S1012,EMG,9:46:47,9:47:06
S1012,EMG,9:47:02,9:47:03
S1012,EMG,9:47:11,9:47:12
S1012,EMG,9:47:18,9:47:20
S1012,EMG,9:47:22,9:47:23
S1012,EMG,9:47:33,9:47:49
S1012,EMG,9:47:52,9:47:54
S1012,EMG,9:48:24,9:48:29
S1012,EMG,9:48:42,9:48:46
S1012,EMG,9:50:17,9:50:19
S1012,EMG,9:52:03,9:52:06
S1012,EMG,9:52:08,9:52:10
S1012,EMG,9:52:15,9:52:16
S1012,EMG,9:52:21,9:52:22
S1012,EMG,9:52:23,9:52:25
S1012,EMG,9:52:33,9:52:34
S1012,EMG,9:52:36,9:52:42
